,ItemNumber,Category,CategoryName,ItemDescription,BottleVolume(ml),Proof,Imported,Type
0,26826,1011400.0,tennessee whiskies,jack daniels old #7 black lbl,750.0,80.0,domestic,whiskey
1,69706,1082200.0,imported schnapps,dr. mcgillicuddy's root beer schnapps,750.0,42.0,imported,schnapps
2,37664,1031100.0,american vodkas,row vodka mini,50.0,80.0,domestic,vodka
3,37258,1031100.0,american vodkas,gotcha vodka,1000.0,80.0,domestic,vodka
4,43026,1062400.0,spiced rum,admiral nelson spiced rum,750.0,70.0,domestic,rum
5,38088,1031100.0,american vodkas,platinum 7x vodka,1750.0,80.0,domestic,vodka
6,36904,1031100.0,american vodkas,mccormick vodka pet,375.0,80.0,domestic,vodka
7,23824,1011100.0,blended whiskies,five star,375.0,80.0,domestic,whiskey
8,53214,1051100.0,american brandies,paul masson grande amber brandy,375.0,80.0,domestic,brandy
9,37994,1031100.0,american vodkas,smirnoff 80prf,375.0,80.0,domestic,vodka
10,917946,1901200.0,special order items,ha elmer t lee single barrel,750.0,90.0,domestic,other
11,15622,1012400.0,irish whiskies,jameson,200.0,80.0,domestic,whiskey
12,26827,1011400.0,tennessee whiskies,jack daniels old #7 black lbl,1000.0,80.0,domestic,whiskey
13,43123,1062200.0,puerto rico & virgin islands rum,bacardi superior rum,200.0,80.0,domestic,rum
14,11588,1012100.0,canadian whiskies,black velvet reserve,1750.0,80.0,domestic,whiskey
15,5247,1012300.0,single malt scotch,highland park 12yr viking honour,750.0,86.0,domestic,whiskey
16,18006,1011200.0,straight bourbon whiskies,buffalo trace bourbon,750.0,90.0,domestic,whiskey
17,10803,1012100.0,canadian whiskies,crown royal regal apple mini,50.0,80.0,domestic,whiskey
18,72927,1062500.0,flavored rum,captain morgan sliced apple mini,50.0,70.0,domestic,rum
19,21212,1701100.0,temporary & specialty packages,rebel 10yr single barrel,750.0,100.0,domestic,other
20,34255,1032200.0,imported flavored vodka,effen raspberry,750.0,70.0,imported,vodka
21,16086,1011500.0,straight rye whiskies,early times bottled in bond,1000.0,100.0,domestic,whiskey
22,43338,1062400.0,spiced rum,captain morgan spiced rum,1750.0,70.0,domestic,rum
23,44476,1062500.0,flavored rum,cruzan coconut rum,750.0,42.0,domestic,rum
24,927461,1901200.0,special order items,sooh breckenridge bourbon,750.0,86.0,domestic,whiskey
25,25608,1011100.0,blended whiskies,seagrams 7 crown bl whiskey,1750.0,80.0,domestic,whiskey
26,37348,1031100.0,american vodkas,phillips vodka,1750.0,80.0,domestic,vodka
27,48099,1052100.0,imported brandies,hennessy vs,200.0,80.0,imported,brandy
28,28210,1042100.0,imported dry gins,bombay sapphire east,750.0,84.0,imported,gin
29,43621,1062300.0,flavored rum,myers's original dark rum,750.0,80.0,domestic,rum
30,76036,1081700.0,distilled spirits specialty,midnight moon apple pie,750.0,70.0,domestic,other
31,942400,1062200.0,puerto rico & virgin islands rum,el dorado 3yr,750.0,80.0,domestic,rum
32,67578,1081100.0,coffee liqueurs,kahlua salted caramel,750.0,70.0,domestic,liqueur
33,87485,1022200.0,100% agave tequila,don julio blanco,750.0,80.0,domestic,tequila
34,64864,1081600.0,whiskey liqueur,fireball cinnamon whisky,375.0,66.0,domestic,whiskey
35,72928,1062500.0,flavored rum,captain morgan sliced apple,750.0,70.0,domestic,rum
36,65013,1081600.0,whiskey liqueur,fireball cinnamon whiskey mini sleeve,50.0,66.0,domestic,whiskey
37,87647,1022200.0,100% agave tequila,exotico blanco,1000.0,80.0,domestic,tequila
38,64866,1081600.0,whiskey liqueur,fireball cinnamon whiskey,750.0,80.0,domestic,whiskey
39,36308,1031100.0,american vodkas,hawkeye vodka,1750.0,80.0,domestic,vodka
40,57174,1071100.0,cocktails /rtd,chi-chi's skinny margarita,1750.0,20.0,domestic,cocktails
41,65260,1082000.0,imported cordials & liqueurs,jagermeister coolpack,375.0,70.0,imported,liqueur
42,89191,1022100.0,mixto tequila,jose cuervo especial reposado tequila mini,500.0,80.0,domestic,tequila
43,26821,1011400.0,tennessee whiskies,jack daniels old #7 black lbl mini,500.0,80.0,domestic,whiskey
44,43331,1062400.0,spiced rum,captain morgan spiced rum mini,500.0,70.0,domestic,rum
45,10790,1012100.0,canadian whiskies,crown royal vanilla,375.0,70.0,domestic,whiskey
46,28246,1042100.0,imported dry gins,boodles british gin london dry,750.0,90.0,imported,gin
47,48105,1052100.0,imported brandies,hennessy vs,375.0,80.0,imported,brandy
48,27780,1011200.0,straight bourbon whiskies,jim beam apple mini,50.0,65.0,domestic,whiskey
49,65191,1082000.0,imported cordials & liqueurs,hpnotiq mini,600.0,34.0,imported,liqueur
50,88361,1022200.0,100% agave tequila,cincoro anejo tequila,750.0,80.0,domestic,tequila
51,34007,1032080.0,imported vodka,absolut swedish vodka 80 prf,1000.0,80.0,imported,vodka
52,927167,1011600.0,straight rye whiskies,ezra brooks rye,750.0,90.0,domestic,whiskey
53,11788,1012100.0,canadian whiskies,black velvet,1750.0,80.0,domestic,whiskey
54,89197,1022100.0,mixto tequila,jose cuervo especial reposado tequila,1000.0,80.0,domestic,tequila
55,43121,1062200.0,puerto rico & virgin islands rum,bacardi superior rum mini,500.0,80.0,domestic,rum
56,75218,1081300.0,american cordials & liqueur,kinky green mini,50.0,34.0,domestic,liqueur
57,88548,1022200.0,100% agave tequila,hornitos plata,750.0,80.0,domestic,tequila
58,36304,1031100.0,american vodkas,hawkeye vodka,375.0,80.0,domestic,vodka
59,29423,1041100.0,american dry gins,blue ox gin,1750.0,80.0,domestic,gin
60,75208,1081300.0,american cordials & liqueur,kinky liqueur mini,500.0,34.0,domestic,liqueur
61,34423,1032100.0,imported vodkas,grey goose vodka,375.0,80.0,imported,vodka
62,26291,1011100.0,blended whiskies,revelton honey whiskey,750.0,75.0,domestic,whiskey
63,43126,1062200.0,puerto rico & virgin islands rum,bacardi superior rum,750.0,80.0,domestic,rum
64,27237,1011100.0,blended whiskies,driftless glen bourbon,750.0,96.0,domestic,whiskey
65,82607,1081305.0,apple schnapps,dekuyper sour apple,1000.0,30.0,domestic,schnapps
66,23826,1011100.0,blended whiskies,five star,750.0,80.0,domestic,whiskey
67,86888,1081600.0,whiskey liqueur,southern comfort pet,1750.0,70.0,domestic,whiskey
68,27410,1011200.0,straight bourbon whiskies,jim beam honey,750.0,65.0,domestic,whiskey
69,11776,1012100.0,canadian whiskies,black velvet,750.0,80.0,domestic,whiskey
70,31658,1041100.0,american dry gins,paramount gin,1750.0,80.0,domestic,gin
71,38194,1031100.0,american vodkas,titos handmade vodka mini,50.0,80.0,domestic,vodka
72,5696,1012300.0,single malt scotch,oban single malt scotch,750.0,86.0,domestic,whiskey
73,11777,1012100.0,canadian whiskies,black velvet,1000.0,80.0,domestic,whiskey
74,84143,1081400.0,american schnapps,99 cinnamon mini,600.0,99.0,domestic,schnapps
75,39381,1031200.0,american flavored vodka,new amsterdam pink whitney,200.0,60.0,domestic,vodka
76,45278,1062200.0,puerto rico & virgin islands rum,paramount white rum,1750.0,80.0,domestic,rum
77,43333,1062400.0,spiced rum,captain morgan spiced rum pet,200.0,70.0,domestic,rum
78,38174,1031100.0,american vodkas,titos handmade vodka,375.0,80.0,domestic,vodka
79,12888,1012100.0,canadian whiskies,rich & rare canadian whisky,1750.0,80.0,domestic,whiskey
80,38178,1031100.0,american vodkas,titos handmade vodka,1750.0,80.0,domestic,vodka
81,23827,1011100.0,blended whiskies,five star,1000.0,80.0,domestic,whiskey
82,903037,1901200.0,special order items,sooh agavero liqueur,750.0,64.0,domestic,liqueur
83,87026,1011100.0,blended whiskies,skrewball peanut butter whiskey,750.0,70.0,domestic,whiskey
84,28628,1042100.0,imported dry gins,hendricks gin,1750.0,92.0,imported,gin
85,82866,1081400.0,american schnapps,dekuyper watermelon pucker,750.0,30.0,domestic,schnapps
86,39500,1031200.0,american flavored vodka,western son raspberry vodka mini,50.0,60.0,domestic,vodka
87,86669,1011400.0,tennessee whiskies,jack daniel's tennessee honey,375.0,70.0,domestic,whiskey
88,10550,1012100.0,canadian whiskies,black velvet toasted caramel,750.0,80.0,domestic,whiskey
89,39725,1031200.0,american flavored vodka,new amsterdam lemon,750.0,70.0,domestic,vodka
90,21598,1011200.0,straight bourbon whiskies,ten high,1750.0,80.0,domestic,whiskey
91,10792,1012100.0,canadian whiskies,crown royal vanilla,1000.0,70.0,domestic,whiskey
92,25607,1011100.0,blended whiskies,seagrams 7 crown bl whiskey,1000.0,80.0,domestic,whiskey
93,29996,1041100.0,american dry gins,five o'clock gin,750.0,80.0,domestic,gin
94,16988,1011200.0,straight bourbon whiskies,bourbon supreme bourbon,1750.0,80.0,domestic,whiskey
95,4616,1012200.0,scotch whiskies,buchanan special reserve 18yr,750.0,80.0,domestic,whiskey
96,37336,1031080.0,vodka 80 proof,uv vodka,750.0,80.0,domestic,vodka
97,43028,1062400.0,spiced rum,admiral nelson spiced rum,1750.0,70.0,domestic,rum
98,58876,1071100.0,cocktails /rtd,jose cuervo golden margarita,750.0,25.0,domestic,cocktails
99,65256,1082000.0,imported cordials & liqueurs,jagermeister liqueur,750.0,70.0,imported,liqueur
100,37356,1031100.0,american vodkas,phillips vodka ez pack,750.0,80.0,domestic,vodka
101,76486,1081010.0,american amaretto,paramount amaretto,750.0,50.0,domestic,liqueur
102,5702,1012200.0,scotch whiskies,oban 18yr,750.0,86.0,domestic,whiskey
103,56206,1051140.0,peach brandies,paramount peach flavored brandy,750.0,75.0,domestic,brandy
104,11299,1012100.0,canadian whiskies,crown royal,200.0,80.0,domestic,whiskey
105,36305,1031100.0,american vodkas,hawkeye vodka,750.0,80.0,domestic,vodka
106,27723,1011100.0,blended whiskies,jim beam honey,100.0,65.0,domestic,whiskey
107,82846,1081400.0,american schnapps,dekuyper luscious peachtree,750.0,30.0,domestic,schnapps
108,11294,1012100.0,canadian whiskies,crown royal canadian whisky,375.0,80.0,domestic,whiskey
109,11774,1012100.0,canadian whiskies,black velvet,375.0,80.0,domestic,whiskey
110,89206,1022100.0,mixto tequila,1800 reposado tequila,750.0,80.0,domestic,tequila
111,42699,1062500.0,flavored rum,malibu mango rum,750.0,42.0,domestic,rum
112,69657,1082200.0,imported schnapps,dr. mcgillicuddy's mentholmint,1000.0,48.0,imported,schnapps
113,37886,1031100.0,american vodkas,seagrams vodka,750.0,80.0,domestic,vodka
114,24728,1011100.0,blended whiskies,"mccormick blend whiskey, pet",1750.0,80.0,domestic,whiskey
115,15626,1012400.0,irish whiskies,jameson,750.0,80.0,domestic,whiskey
116,38176,1031100.0,american vodkas,titos handmade vodka,750.0,80.0,domestic,vodka
117,67526,1081100.0,coffee liqueurs,kahlua coffee liqueur,750.0,40.0,domestic,liqueur
118,15628,1012400.0,irish whiskies,jameson,1750.0,80.0,domestic,whiskey
119,17206,1011200.0,straight bourbon whiskies,cedar ridge bourbon,750.0,80.0,domestic,whiskey
120,19021,1011200.0,straight bourbon whiskies,jim beam black mini,50.0,86.0,domestic,whiskey
121,87403,1022100.0,mixto tequila,jose cuervo especial silver,375.0,80.0,domestic,tequila
122,24158,1011100.0,blended whiskies,hawkeye blend whiskey,1750.0,80.0,domestic,whiskey
123,41846,1101100.0,american alcohol,everclear alcohol,750.0,151.0,domestic,other
124,81124,1081400.0,american schnapps,99 peppermint mini,50.0,99.0,domestic,schnapps
125,86839,1091300.0,neutral grain spirits flavored,ole smoky mango habanero whiskey,750.0,70.0,domestic,whiskey
126,36124,1031100.0,american vodkas,deep eddy 80prf,1750.0,80.0,domestic,vodka
127,34164,1032100.0,imported vodkas,ciroc 80prf,200.0,80.0,imported,vodka
128,49186,1052100.0,imported brandies,remy martin vsop,750.0,80.0,imported,brandy
129,21986,1011200.0,straight bourbon whiskies,weller reserve 7yr bourbon,750.0,90.0,domestic,whiskey
130,84171,1081400.0,american schnapps,99 bananas,100.0,99.0,domestic,schnapps
131,86886,1081600.0,whiskey liqueur,southern comfort,750.0,70.0,domestic,whiskey
132,11586,1012100.0,canadian whiskies,black velvet reserve,750.0,80.0,domestic,whiskey
133,30527,1041100.0,american dry gins,hawkeye gin,1000.0,80.0,domestic,gin
134,88296,1022200.0,100% agave tequila,patron tequila silver,750.0,80.0,domestic,tequila
135,20248,1011200.0,straight bourbon whiskies,old crow,1750.0,80.0,domestic,whiskey
136,88768,1022100.0,mixto tequila,tortilla white tequila,1750.0,80.0,domestic,tequila
137,80023,1081200.0,cream liqueurs,buffalo trace bourbon cream,750.0,30.0,domestic,liqueur
138,10807,1012100.0,canadian whiskies,crown royal regal apple,750.0,80.0,domestic,whiskey
139,27323,1011100.0,blended whiskies,two jay's country style blended why.,750.0,80.0,domestic,whiskey
140,19068,1011200.0,straight bourbon whiskies,jim beam,1750.0,80.0,domestic,whiskey
141,27433,1011100.0,blended whiskies,bird dog peach,750.0,80.0,domestic,whiskey
142,73052,1081200.0,cream liqueurs,rumchata,375.0,27.0,domestic,liqueur
143,43038,1062200.0,puerto rico & virgin islands rum,bacardi gold rum,1750.0,80.0,domestic,rum
144,37217,1031080.0,vodka 80 proof,paramount vodka,1000.0,80.0,domestic,vodka
145,58840,1071100.0,cocktails /rtd,jose cuervo authentic grapefruit tangerine margarita,1750.0,19.0,domestic,cocktails
146,69656,1082200.0,imported schnapps,dr. mcgillicuddy's mentholmint,750.0,48.0,imported,schnapps
147,36878,1031100.0,american vodkas,foundry vodka,750.0,80.0,domestic,vodka
148,11290,1012100.0,canadian whiskies,crown royal canadian whisky mini,300.0,80.0,domestic,whiskey
149,86455,1012100.0,canadian whiskies,black velvet apple,750.0,70.0,domestic,whiskey
150,43285,1062400.0,spiced rum,captain morgan original spiced rum pet,750.0,70.0,domestic,rum
151,77848,1031200.0,american flavored vodka,smirnoff vanilla,1000.0,70.0,domestic,vodka
152,81207,1081400.0,american schnapps,paramount peppermint schnapps,1000.0,50.0,domestic,schnapps
153,17956,1011200.0,straight bourbon whiskies,evan williams str bourbon,750.0,86.0,domestic,whiskey
154,10788,1012100.0,canadian whiskies,crown royal vanilla mini,50.0,70.0,domestic,whiskey
155,74801,1011400.0,tennessee whiskies,jack daniels tennessee apple,750.0,70.0,domestic,whiskey
156,36989,1031100.0,american vodkas,blue ox vodka pet,750.0,80.0,domestic,vodka
157,87408,1022100.0,mixto tequila,jose cuervo especial silver,750.0,80.0,domestic,tequila
158,27783,1011200.0,straight bourbon whiskies,jim beam apple,750.0,65.0,domestic,whiskey
159,88294,1022200.0,100% agave tequila,patron silver tequila,375.0,80.0,domestic,tequila
160,58838,1071100.0,cocktails /rtd,jose cuervo authentic lime margarita,1750.0,19.0,domestic,cocktails
161,29568,1041100.0,american dry gins,burnett's gin london dry,1750.0,80.0,domestic,gin
162,43125,1062200.0,puerto rico & virgin islands rum,bacardi superior rum pet,750.0,80.0,domestic,rum
163,87646,1022200.0,100% agave tequila,exotico blanco,750.0,80.0,domestic,tequila
164,52594,1051100.0,american brandies,e & j vs brandy,375.0,80.0,domestic,brandy
165,86404,1011200.0,straight bourbon whiskies,red cabin bourbon,750.0,85.0,domestic,whiskey
166,31656,1041100.0,american dry gins,paramount gin,750.0,80.0,domestic,gin
167,34422,1032080.0,imported vodka,grey goose vodka,1000.0,80.0,imported,vodka
168,64418,1701100.0,temporary & specialty packages,ciroc summer watermelon,750.0,70.0,domestic,other
169,69945,1082200.0,imported schnapps,rumple minze peppermint schnapps liqueur,375.0,100.0,imported,schnapps
170,75212,1081300.0,american cordials & liqueur,kinky blue mini,500.0,34.0,domestic,liqueur
171,65200,1081200.0,cream liqueurs,tequila rose liqueur,750.0,30.0,domestic,liqueur
172,64636,1082000.0,imported cordials & liqueurs,campari italian aperitivo,750.0,48.0,imported,liqueur
173,19064,1011200.0,straight bourbon whiskies,jim beam,375.0,80.0,domestic,whiskey
174,5153,1012300.0,single malt scotch,glenlivet founders reserve,750.0,80.0,domestic,whiskey
175,12408,1012100.0,canadian whiskies,canadian ltd whisky,1750.0,80.0,domestic,whiskey
176,5289,1012200.0,scotch whiskies,j & b rare scotch,1000.0,80.0,domestic,whiskey
177,4716,1012200.0,scotch whiskies,chivas regal 12 yr,750.0,80.0,domestic,whiskey
178,36908,1031100.0,american vodkas,mccormick vodka pet,1750.0,80.0,domestic,vodka
179,59162,1071100.0,cocktails /rtd,1800 ultimate pineapple margarita,1750.0,20.0,domestic,cocktails
180,84404,1081300.0,american cordials & liqueur,99 mangoes,100.0,99.0,domestic,liqueur
181,19476,1011200.0,straight bourbon whiskies,maker's mark,750.0,90.0,domestic,whiskey
182,36886,1031100.0,american vodkas,mccormick vodka,750.0,80.0,domestic,vodka
183,36968,1031100.0,american vodkas,new amsterdam 80prf,375.0,80.0,domestic,vodka
184,78128,1031200.0,american flavored vodka,smirnoff pink lemonade mini,50.0,60.0,domestic,vodka
185,19061,1011200.0,straight bourbon whiskies,jim beam mini,500.0,80.0,domestic,whiskey
186,49185,1052100.0,imported brandies,remy martin vsop (flask),375.0,80.0,imported,brandy
187,64388,1701100.0,temporary & specialty packages,bumbu rum,375.0,70.0,domestic,rum
188,36903,1031100.0,american vodkas,mccormick vodka,200.0,80.0,domestic,vodka
189,22228,1011200.0,straight bourbon whiskies,woodford reserve double oaked,750.0,90.0,domestic,whiskey
190,11296,1012100.0,canadian whiskies,crown royal,750.0,80.0,domestic,whiskey
191,64858,1081600.0,whiskey liqueur,fireball cinnamon whiskey mini dispenser,3000.0,66.0,domestic,whiskey
192,11366,1012100.0,canadian whiskies,crown royal special reserve,750.0,80.0,domestic,whiskey
193,84172,1081400.0,american schnapps,99 bananas mini,50.0,99.0,domestic,schnapps
194,68031,1081200.0,cream liqueurs,baileys original irish cream mini,1000.0,34.0,domestic,liqueur
195,35316,1031100.0,american vodkas,barton vodka,750.0,80.0,domestic,vodka
196,1799,1062400.0,spiced rum,captain morgan spiced barrel,1750.0,70.0,domestic,rum
197,27680,1011100.0,blended whiskies,jim beam kentucky fire mini,500.0,65.0,domestic,whiskey
198,42777,1062300.0,flavored rum,ron zacapa 23 year,750.0,80.0,domestic,rum
199,64904,1081600.0,whiskey liqueur,fireball cinnamon whiskey pet,1750.0,66.0,domestic,whiskey
200,41693,1031200.0,american flavored vodka,uv blue (raspberry) vodka,750.0,60.0,domestic,vodka
201,89199,1022100.0,mixto tequila,jose cuervo especial reposado square,375.0,80.0,domestic,tequila
202,27014,1011600.0,straight rye whiskies,cedar ridge malted rye,750.0,86.0,domestic,whiskey
203,36302,1031100.0,american vodkas,hawkeye vodka,200.0,80.0,domestic,vodka
204,24454,1011100.0,blended whiskies,kessler blend whiskey,375.0,80.0,domestic,whiskey
205,88766,1022100.0,mixto tequila,tortilla white tequila,750.0,80.0,domestic,tequila
206,18201,1011200.0,straight bourbon whiskies,ezra brooks 99pr bourbon,750.0,99.0,domestic,whiskey
207,10804,1012100.0,canadian whiskies,crown royal regal apple,200.0,80.0,domestic,whiskey
208,19226,1011200.0,straight bourbon whiskies,knob creek,750.0,100.0,domestic,whiskey
209,59086,1071100.0,cocktails /rtd,drakes organic boxtails minted mojito,1750.0,24.0,domestic,cocktails
210,69637,1082200.0,imported schnapps,dr. mcgillicuddy's cherry schnapps,1000.0,30.0,imported,schnapps
211,65257,1082000.0,imported cordials & liqueurs,jagermeister liqueur,1000.0,70.0,imported,liqueur
212,77709,1031200.0,american flavored vodka,smirnoff peach,750.0,70.0,domestic,vodka
213,36875,1031100.0,american vodkas,blue ox vodka,1750.0,80.0,domestic,vodka
214,27408,1011200.0,straight bourbon whiskies,jim beam honey mini,50.0,65.0,domestic,whiskey
215,42718,1062500.0,flavored rum,malibu coconut rum,1750.0,42.0,domestic,rum
216,34076,1032200.0,imported flavored vodka,absolut vanilia,750.0,80.0,imported,vodka
217,10805,1012100.0,canadian whiskies,crown royal regal apple,375.0,80.0,domestic,whiskey
218,5159,1012200.0,scotch whiskies,glenfiddich 14yr,750.0,86.0,domestic,whiskey
219,68036,1081200.0,cream liqueurs,baileys original irish cream,750.0,34.0,domestic,liqueur
220,64011,1032200.0,imported flavored vodka,absolut juice edition strawberry,750.0,70.0,imported,vodka
221,75224,1081300.0,american cordials & liqueur,kinky red mini,50.0,34.0,domestic,liqueur
222,27428,1011100.0,blended whiskies,bird dog peach mini,50.0,80.0,domestic,whiskey
223,47865,1082000.0,imported cordials & liqueurs,d'usse vsop,750.0,80.0,imported,liqueur
224,79966,1081300.0,american cordials & liqueur,arrow creme de almond,750.0,75.0,domestic,liqueur
225,25606,1011100.0,blended whiskies,seagrams 7 crown bl whiskey,750.0,80.0,domestic,whiskey
226,41692,1031200.0,american flavored vodka,uv blue (raspberry) vodka,1750.0,60.0,domestic,vodka
227,34030,1032200.0,imported flavored vodka,absolut citron (lemon vodka),750.0,80.0,imported,vodka
228,86691,1011400.0,tennessee whiskies,jack daniels tennessee fire mini,500.0,70.0,domestic,whiskey
229,942411,1062100.0,gold rum,banks 5  island blend,750.0,86.0,domestic,rum
230,15644,1012400.0,irish whiskies,jameson,375.0,80.0,domestic,whiskey
231,43120,1062200.0,puerto rico & virgin islands rum,bacardi superior pet,1750.0,80.0,domestic,rum
232,64870,1081600.0,whiskey liqueur,fireball cinnamon whiskey,100.0,66.0,domestic,whiskey
233,15248,1012100.0,canadian whiskies,windsor canadian pet,1750.0,80.0,domestic,whiskey
234,89196,1022100.0,mixto tequila,jose cuervo especial reposado tequila,750.0,80.0,domestic,tequila
235,40327,1031200.0,american flavored vodka,deep eddy ruby red,750.0,70.0,domestic,vodka
236,11773,1012100.0,canadian whiskies,black velvet,200.0,80.0,domestic,whiskey
237,34359,1032100.0,imported vodkas,grey goose vodka,200.0,80.0,imported,vodka
238,32232,1041100.0,american dry gins,seagrams extra dry gin,100.0,80.0,domestic,gin
239,88372,1022200.0,100% agave tequila,teremana reposado tequila,750.0,80.0,domestic,tequila
240,34458,1032100.0,imported vodkas,ketel one imported vodka,1750.0,80.0,imported,vodka
241,17916,1011200.0,straight bourbon whiskies,elijah craig,750.0,94.0,domestic,whiskey
242,18352,1011200.0,straight bourbon whiskies,four roses bourbon,750.0,80.0,domestic,whiskey
243,89329,1022200.0,100% agave tequila,herradura anjeo,750.0,80.0,domestic,tequila
244,19481,1011200.0,straight bourbon whiskies,makers mark cask strength,750.0,110.0,domestic,whiskey
245,43860,1062500.0,flavored rum,malibu watermelon,750.0,42.0,domestic,rum
246,58868,1071100.0,cocktails /rtd,jose cuervo authentic strawberry margarita,1750.0,19.0,domestic,cocktails
247,43388,1062200.0,puerto rico & virgin islands rum,castillo silver rum,1750.0,80.0,domestic,rum
248,19478,1011200.0,straight bourbon whiskies,maker's mark,1750.0,90.0,domestic,whiskey
249,43336,1062400.0,spiced rum,captain morgan original spiced,750.0,70.0,domestic,rum
250,24157,1011100.0,blended whiskies,hawkeye blend whiskey,1000.0,80.0,domestic,whiskey
251,11771,1012100.0,canadian whiskies,black velvet mini,600.0,80.0,domestic,whiskey
252,20286,1011200.0,straight bourbon whiskies,old crow traveler,750.0,80.0,domestic,whiskey
253,37418,1031080.0,vodka 80 proof,popov vodka 80 prf,1750.0,80.0,domestic,vodka
254,11298,1012100.0,canadian whiskies,crown royal canadian whisky,1750.0,80.0,domestic,whiskey
255,37987,1031080.0,vodka 80 proof,skyy vodka,1000.0,80.0,domestic,vodka
256,34746,1032100.0,imported vodkas,stolichnaya 80prf,750.0,80.0,imported,vodka
257,28275,1011200.0,straight bourbon whiskies,jim beam peach mini,50.0,65.0,domestic,whiskey
258,27100,1011600.0,straight rye whiskies,sazerac rye,750.0,90.0,domestic,whiskey
259,65426,1082000.0,imported cordials & liqueurs,licor 43,750.0,62.0,imported,liqueur
260,17958,1011200.0,straight bourbon whiskies,evan williams yr str bourbon,1750.0,86.0,domestic,whiskey
261,43352,1062500.0,flavored rum,captain morgan pineapple,750.0,70.0,domestic,rum
262,69636,1082200.0,imported schnapps,dr. mcgillicuddy's cherry schnapps,750.0,30.0,imported,schnapps
263,69609,1082200.0,imported schnapps,dr mcgillicuddys apple pie mini,50.0,42.0,imported,schnapps
264,37938,1031080.0,vodka 80 proof,skol vodka,1750.0,80.0,domestic,vodka
265,26824,1011400.0,tennessee whiskies,jack daniels old #7 black lbl square,375.0,80.0,domestic,whiskey
266,37338,1031100.0,american vodkas,uv vodka pet,1750.0,80.0,domestic,vodka
267,12476,1012100.0,canadian whiskies,canadian mist whiskey pet,750.0,80.0,domestic,whiskey
268,57184,1071100.0,cocktails /rtd,bacardi zombie rts,1750.0,25.0,domestic,cocktails
269,63319,1071100.0,cocktails /rtd,on the rocks cocktails effen cosmopolitan,375.0,40.0,domestic,cocktails
270,83363,1081400.0,american schnapps,ice hole butterscotch schnapps,750.0,80.0,domestic,schnapps
271,32234,1041100.0,american dry gins,seagrams extra dry gin,375.0,80.0,domestic,gin
272,88298,1022200.0,100% agave tequila,patron tequila silver,1750.0,80.0,domestic,tequila
273,77683,1031200.0,american flavored vodka,smirnoff kissed caramel,750.0,60.0,domestic,vodka
274,44657,1062310.0,spiced rum,lady bligh spiced rum,1000.0,72.0,domestic,rum
275,36974,1031100.0,american vodkas,nikolai vodka,375.0,80.0,domestic,vodka
276,12861,1012100.0,canadian whiskies,rich & rare caramel mini,50.0,70.0,domestic,whiskey
277,28279,1011200.0,straight bourbon whiskies,jim beam peach,750.0,65.0,domestic,whiskey
278,37302,1032100.0,imported vodkas,svedka cherry limeade vodka,750.0,70.0,imported,vodka
279,42167,1062300.0,flavored rum,myers's rum original dark,1000.0,80.0,domestic,rum
280,87035,1011100.0,blended whiskies,skrewball peanut butter whiskey mini,50.0,70.0,domestic,whiskey
281,5326,1012200.0,scotch whiskies,johnnie walker black,750.0,80.0,domestic,whiskey
282,11910,1012100.0,canadian whiskies,caliber canadian whiskey,750.0,80.0,domestic,whiskey
283,31470,1041100.0,american dry gins,new amsterdam gin,1000.0,80.0,domestic,gin
284,43747,1062500.0,flavored rum,bacardi lime,750.0,70.0,domestic,rum
285,15258,1012100.0,canadian whiskies,windsor canadian black cherry,1750.0,70.0,domestic,whiskey
286,27751,1011100.0,blended whiskies,seagrams 7 crown orchard apple,750.0,71.0,domestic,whiskey
287,65144,1082000.0,imported cordials & liqueurs,il tramonto limoncello,750.0,60.0,imported,liqueur
288,58902,1071100.0,cocktails /rtd,jose cuervo authentic mango margarita,200.0,20.0,domestic,cocktails
289,22156,1011200.0,straight bourbon whiskies,wild turkey 101,750.0,101.0,domestic,whiskey
290,37125,1031100.0,american vodkas,bagger vodka,1000.0,80.0,domestic,vodka
291,11297,1012100.0,canadian whiskies,crown royal canadian whisky,1000.0,80.0,domestic,whiskey
292,43022,1062400.0,spiced rum,admiral nelson spiced rum mini,500.0,70.0,domestic,rum
293,19006,1011200.0,straight bourbon whiskies,jeffersons reserve,750.0,90.0,domestic,whiskey
294,69715,1082200.0,imported schnapps,dr mcgillicuddys peach,750.0,42.0,imported,schnapps
295,28350,1042100.0,imported dry gins,broker's london dry gin,750.0,94.0,imported,gin
296,82847,1081400.0,american schnapps,dekuyper luscious peachtree,1000.0,30.0,domestic,schnapps
297,52596,1051100.0,american brandies,e & j vs,750.0,80.0,domestic,brandy
298,89198,1022100.0,mixto tequila,jose cuervo especial reposado tequila,1750.0,80.0,domestic,tequila
299,45277,1062200.0,puerto rico & virgin islands rum,paramount white rum,1000.0,80.0,domestic,rum
300,27102,1011500.0,straight rye whiskies,templeton rye,750.0,80.0,domestic,whiskey
301,81208,1081400.0,american schnapps,paramount peppermint schnapps,1750.0,50.0,domestic,schnapps
302,64912,1032200.0,imported flavored vodka,ciroc mango,200.0,70.0,imported,vodka
303,46504,1062400.0,spiced rum,kraken black spiced rum,750.0,94.0,domestic,rum
304,69666,1081390.0,imported schnapps,dr. mcgillicuddy's vanilla,750.0,48.0,imported,schnapps
