,ItemNumber,Category,CategoryName,ItemDescription,BottleVolume(ml),Proof,Imported,Type
4083,978243,1091100.0,american distilled spirit specialty,atomic drop hg80,750.0,70.0,domestic,other
4084,926379,1011100.0,blended whiskies,journeyman corsets whips and whiskey,750.0,117.0,domestic,whiskey
4085,942481,1062100.0,gold rum,dictador rum 12yr,750.0,80.0,domestic,rum
4086,21227,1011100.0,blended whiskies,redemption wheated bourbon,750.0,96.0,domestic,whiskey
4087,902286,1901200.0,special order items,dekuyper creme de menthe green,750.0,60.0,domestic,liqueur
4088,17672,1011200.0,straight bourbon whiskies,duke kentucky straight bourbon whiskey,750.0,88.0,domestic,whiskey
4089,6339,1012200.0,scotch whiskies,tullibardine 12 year old single malt scotch,750.0,80.0,domestic,whiskey
4090,925213,1011300.0,single barrel bourbon whiskies,the clover barrel strength straight bourbon buy the barrel,750.0,112.0,domestic,whiskey
4091,36880,1031100.0,american vodkas,riegers premium wheat vodka,750.0,80.0,domestic,vodka
4092,11518,1701100.0,temporary & specialty packages,alberta premium rye whisky,750.0,80.0,domestic,whiskey
4093,37240,1700000.0,temporary &  specialty packages,crystal head vodka pride bottle,750.0,80.0,domestic,vodka
4094,15517,1012400.0,irish whiskies,grey coast irish whiskey,700.0,80.0,domestic,whiskey
4095,918852,1011200.0,straight bourbon whiskies,larceny mini,50.0,92.0,domestic,whiskey
4096,905736,1012200.0,scotch whiskies,the glenrothes whisky makers cut,750.0,98.0,domestic,whiskey
4097,994766,1062300.0,flavored rum,old monk xxx rum,750.0,80.0,domestic,rum
4098,39168,1031100.0,american vodkas,century farms open gate sweet tea vodka,750.0,70.0,domestic,vodka
4099,927797,1011200.0,straight bourbon whiskies,amador bourbon double barrel,750.0,96.0,domestic,whiskey
4100,913010,1012100.0,canadian whiskies,chicken cock cotton club rye 20yr,750.0,100.0,domestic,whiskey
4101,902859,1901200.0,special order items,kentucky gentleman bourbon,1000.0,80.0,domestic,whiskey
4102,916101,1011100.0,blended whiskies,tenjaku pure malt japanese whiskey,750.0,86.0,domestic,whiskey
4103,946688,1062100.0,gold rum,papas pilar blonde rum,750.0,84.0,domestic,rum
4104,943618,1062100.0,gold rum,bacardi anejo cuatro,750.0,80.0,domestic,rum
4105,4468,1701100.0,temporary & specialty packages,ardbeg rdcore committee release,750.0,100.0,domestic,other
