,StoreNumber,StoreName,County,CountyNumber,City,ZipCode,StoreLocation,Address,StoreType
1857,6058,panther travel center / cedar falls,black hawk,7,cedar falls,50613,POINT (-92.463928 42.469604),1525 w ridgeway ave,Other
1858,5429,pronto market/ garwin,tama,86,garwin,50632,POINT (-92.678397 42.093297),501 front st.,Other Grocery
1859,6179,bp to go - 1010  / marion,linn,57,marion,52302,POINT (-91.598254 42.02018),1010 e post rd,Convenience
1860,4799,walgreens #05777 / des moines,polk,77,des moines,50317,POINT (-93.559285 41.600575),2930 e university ave,Drug
1861,5806,casey's general store #1159 / correctionville,woodbury,97,correctionville,51016,POINT (-95.78307700000002 42.482163),524 11th st,Convenience
1862,5812,casey's general store #2487 / spirit lake,dickinson,30,spirit lake,51360,POINT (-95.109255 43.422638),1304 18th st,Convenience
1863,5904,harpers one stop / harpers ferry,allamakee,3,harpers ferry,52146,POINT (-91.155186 43.203808),125 jefferson ave,Convenience
1864,6052,casey's general store #2568 / norwalk,warren,91,norwalk,50211,POINT (-93.675082 41.483661),1510 sunset dr,Convenience
1865,2836,cvs pharmacy #8546 / waterloo,black hawk,7,waterloo,50703,POINT (-92.337641 42.503596),205 franklin st,Drug
1866,5269,lefty's convenience store inc,linn,57,alburnett,52202,POINT (-91.618537 42.148),"105, main st",Convenience
1867,5164,bucky's express #22 / council bluffs,pottawattamie,78,council bluffs,51501,POINT (-95.900444 41.244643),3434 nebraska ave,Convenience
1868,9047,revelton distilling company,clarke,20,osceola,50213,POINT (-93.787233 41.041472),1400 w clay st,Liquor/Tobacco
1869,4923,casey's general store #2270 / aurelia,cherokee,18,aurelia,51005,POINT (-95.437639 42.712097),"100, pearl st",Convenience
1870,5675,10th hole inn & suite / gift shop,howard,45,riceville,50466,POINT (-92.547769 43.36388),402 e main st ste a,Other
1871,4711,walgreens #06154 / dubuque,dubuque,31,dubuque,52002,POINT (-90.720519 42.511486),2260 john f kennedy rd,Drug
1872,4754,walgreens #12148 / waverly,bremer,9,waverly,50677,POINT (-92.475049 42.725721),320 w bremer ave,Drug
1873,5884,casey's general store #3439 / lime springs,howard,45,lime springs,,,missing,Convenience
1874,6010,casey's general store #1084 / evansdale,black hawk,7,evansdale,50707,POINT (-92.287899 42.477215),3601 lafayette rd,Convenience
1875,4975,walgreens #15647 / sioux city,woodbury,97,sioux city,51104,POINT (-96.4167 42.511229),1900 hamilton blvd,Drug
1876,5755,casey's general store #0007 / ottumwa,wapello,90,ottumwa,52501,POINT (-92.401498 41.010627),1001 e main st,Convenience
1877,4716,walgreens #11153 / spencer,clay,21,spencer,51301,POINT (-95.144927 43.146081),800 grand ave,Drug
1878,9010,broadbent distillery,warren,91,norwalk,50211,POINT (-93.712272 41.436457),6175 50th ave,Liquor/Tobacco
1879,4176,todds on the go,missing,999999,missing,,,missing,Other
1880,6260,superquick liquor vine / west des moines,polk,77,west des moines,50265,POINT (-93.741511 41.580206),2704 vine street,Convenience
1881,6248,quick stop / cedar rapids,linn,57,cedar rapids,52402,POINT (-91.638037 42.03474),380 blairs ferry road northeast,Convenience
1882,5838,casey's general store #2306 / nevada,story,85,nevada,50201,POINT (-93.444129 42.022739),1136 lincoln hwy,Convenience
1883,6217,todd's shell / rock rapids,lyon,60,rock rapids,51246,POINT (-96.175502 43.430056),209 south union street,Other
1884,6228,oelwein liquor tobacco & gas / oelwein,fayette,33,oelwein,50662,POINT (-91.902413 42.678786),801 east charles street,Convenience
1885,6205,mega saver / council bluffs,pottawattamie,78,council bluffs,51501,POINT (-95.90506 41.26809),3607 9th avenue,Other Grocery
1886,4804,walgreens #07833 / des moines,polk,77,des moines,50312,POINT (-93.664571 41.586323),3501 ingersoll ave,Drug
1887,6194,hy-vee dollar fresh / nevada,story,85,nevada,50201,POINT (-93.437898 42.012648),1622 fawcett parkway,Supermarket
1888,6218,boji junction / milford,dickinson,30,milford,51351,POINT (-95.149926 43.338503),2301 okoboji avenue,Other
1889,6243,hy-vee dollar fresh / independence,buchanan,10,independence,50644,POINT (-91.886923 42.456588),1975 3 elms road,Supermarket
1890,6263,pump n pack / rock valley,sioux,84,rock valley,51247,POINT (-96.294824 43.200164),1004 main street,Other
